shift,A,cluster,peaks,Hs
2.40849,54.9207,c1,3,2
2.40869,62.419,c1,3,2
2.40888,70.9831,c1,3,2
2.40908,80.6193,c1,3,2
2.40928,91.1359,c1,3,2
2.40948,102.446,c1,3,2
2.40968,114.358,c1,3,2
2.40987,126.746,c1,3,2
2.41007,139.272,c1,3,2
2.41027,151.549,c1,3,2
2.41047,163.131,c1,3,2
2.41067,173.374,c1,3,2
2.41087,181.809,c1,3,2
2.41106,188.015,c1,3,2
2.41126,191.673,c1,3,2
2.41146,192.698,c1,3,2
2.41166,191.082,c1,3,2
2.41186,186.901,c1,3,2
2.41206,180.356,c1,3,2
2.41225,171.802,c1,3,2
2.41245,161.626,c1,3,2
2.41265,150.321,c1,3,2
2.41285,138.321,c1,3,2
2.41305,126.066,c1,3,2
2.41324,113.95,c1,3,2
2.41344,102.193,c1,3,2
2.41364,91.0379,c1,3,2
2.41384,80.7143,c1,3,2
2.41404,71.271,c1,3,2
2.41424,62.7949,c1,3,2
2.41443,55.2918,c1,3,2
2.41463,48.6343,c1,3,2
2.41483,42.7645,c1,3,2
2.41503,37.5722,c1,3,2
2.41523,33.075,c1,3,2
2.41543,29.1852,c1,3,2
2.41562,25.8977,c1,3,2
2.41582,23.0909,c1,3,2
2.41602,20.7011,c1,3,2
2.41622,18.6327,c1,3,2
2.41642,16.796,c1,3,2
2.41661,15.2199,c1,3,2
2.41681,13.8755,c1,3,2
2.41701,12.6731,c1,3,2
2.41721,11.6098,c1,3,2
2.41741,10.6072,c1,3,2
2.46221,4.19874,c3,9,1
2.46241,4.51229,c3,9,1
2.4626,4.90691,c3,9,1
2.4628,5.37103,c3,9,1
2.463,5.92239,c3,9,1
2.4632,6.54325,c3,9,1
2.4634,7.21479,c3,9,1
2.4636,7.95582,c3,9,1
2.46379,8.86482,c3,9,1
2.46399,9.91281,c3,9,1
2.46419,11.2113,c3,9,1
2.46439,12.7414,c3,9,1
2.46459,14.4865,c3,9,1
2.46479,16.4632,c3,9,1
2.46498,18.5935,c3,9,1
2.46518,20.8627,c3,9,1
2.46538,23.2159,c3,9,1
2.46558,25.5691,c3,9,1
2.46578,27.9194,c3,9,1
2.46597,30.1307,c3,9,1
2.46617,32.1204,c3,9,1
2.46637,33.7859,c3,9,1
2.46657,35.0227,c3,9,1
2.46677,35.6572,c3,9,1
2.46697,35.6923,c3,9,1
2.46716,35.1251,c3,9,1
2.46736,34.0366,c3,9,1
2.46756,32.5311,c3,9,1
2.46776,30.7407,c3,9,1
2.46796,28.7187,c3,9,1
2.46816,26.5359,c3,9,1
2.46835,24.2141,c3,9,1
2.46855,21.8938,c3,9,1
2.46875,19.643,c3,9,1
2.46895,17.5297,c3,9,1
2.46915,15.6481,c3,9,1
2.46934,14.0069,c3,9,1
2.46954,12.5973,c3,9,1
2.46974,11.3035,c3,9,1
2.46994,10.1488,c3,9,1
2.47014,9.11854,c3,9,1
2.47034,8.22731,c3,9,1
2.47053,7.49389,c3,9,1
2.47073,6.89948,c3,9,1
2.47093,6.3705,c3,9,1
2.47113,5.91101,c3,9,1
2.47133,5.49062,c3,9,1
2.47153,5.07023,c3,9,1
2.47172,4.79897,c3,9,1
2.47192,4.52771,c3,9,1
2.47212,4.37229,c3,9,1
2.47232,4.21687,c3,9,1
2.47252,4.06361,c3,9,1
2.47271,3.91036,c3,9,1
2.47291,3.82661,c3,9,1
2.47311,3.74286,c3,9,1
2.47331,3.77928,c3,9,1
2.47351,3.8157,c3,9,1
2.47371,3.85213,c3,9,1
2.4739,3.88855,c3,9,1
2.4741,3.87349,c3,9,1
2.4743,3.85842,c3,9,1
2.4745,3.95918,c3,9,1
2.4747,4.05995,c3,9,1
2.4749,4.20994,c3,9,1
2.47509,4.35994,c3,9,1
2.47529,4.51862,c3,9,1
2.47549,4.6773,c3,9,1
2.47569,4.89173,c3,9,1
2.47589,5.24515,c3,9,1
2.47608,5.70138,c3,9,1
2.47628,6.29661,c3,9,1
2.47648,6.95554,c3,9,1
2.47668,7.68398,c3,9,1
2.47688,8.48046,c3,9,1
2.47708,9.41595,c3,9,1
2.47727,10.5992,c3,9,1
2.47747,12.0141,c3,9,1
2.47767,13.5811,c3,9,1
2.47787,15.287,c3,9,1
2.47807,17.0524,c3,9,1
2.47827,18.8872,c3,9,1
2.47846,20.7669,c3,9,1
2.47866,22.7856,c3,9,1
2.47886,24.8304,c3,9,1
2.47906,26.7361,c3,9,1
2.47926,28.306,c3,9,1
2.47945,29.4588,c3,9,1
2.47965,30.1049,c3,9,1
2.47985,30.2413,c3,9,1
2.48005,30.0418,c3,9,1
2.48025,29.6107,c3,9,1
2.48045,28.9867,c3,9,1
2.48064,28.2237,c3,9,1
2.48084,27.3174,c3,9,1
2.48104,26.3416,c3,9,1
2.48124,25.4106,c3,9,1
2.48144,24.6187,c3,9,1
2.48164,24.1207,c3,9,1
2.48183,23.947,c3,9,1
2.48203,24.2142,c3,9,1
2.48223,24.8984,c3,9,1
2.48243,25.9707,c3,9,1
2.48263,27.3672,c3,9,1
2.48282,29.175,c3,9,1
2.48302,31.3071,c3,9,1
2.48322,33.7752,c3,9,1
2.48342,36.5675,c3,9,1
2.48362,39.5917,c3,9,1
2.48382,42.755,c3,9,1
2.48401,45.8371,c3,9,1
2.48421,48.6875,c3,9,1
2.48441,51.0457,c3,9,1
2.48461,52.8016,c3,9,1
2.48481,53.9609,c3,9,1
2.485,54.4252,c3,9,1
2.4852,54.2574,c3,9,1
2.4854,53.4874,c3,9,1
2.4856,52.0977,c3,9,1
2.4858,50.1056,c3,9,1
2.486,47.6733,c3,9,1
2.48619,44.8241,c3,9,1
2.48639,41.7722,c3,9,1
2.48659,38.5812,c3,9,1
2.48679,35.4175,c3,9,1
2.48699,32.3928,c3,9,1
2.48719,29.4723,c3,9,1
2.48738,26.7835,c3,9,1
2.48758,24.2772,c3,9,1
2.48778,22.0952,c3,9,1
2.48798,20.2491,c3,9,1
2.48818,18.7273,c3,9,1
2.48837,17.5385,c3,9,1
2.48857,16.5814,c3,9,1
2.48877,15.8908,c3,9,1
2.48897,15.4317,c3,9,1
2.48917,15.2449,c3,9,1
2.48937,15.3825,c3,9,1
2.48956,15.8096,c3,9,1
2.48976,16.561,c3,9,1
2.48996,17.6087,c3,9,1
2.49016,18.888,c3,9,1
2.49036,20.4192,c3,9,1
2.49056,22.0894,c3,9,1
2.49075,23.8682,c3,9,1
2.49095,25.6471,c3,9,1
2.49115,27.4983,c3,9,1
2.49135,29.2105,c3,9,1
2.49155,30.7323,c3,9,1
2.49174,32.0225,c3,9,1
2.49194,32.9188,c3,9,1
2.49214,33.3981,c3,9,1
2.49234,33.3808,c3,9,1
2.49254,32.8539,c3,9,1
2.49274,31.9446,c3,9,1
2.49293,30.8038,c3,9,1
2.49313,29.4953,c3,9,1
2.49333,28.0478,c3,9,1
2.49353,26.5105,c3,9,1
2.49373,24.9732,c3,9,1
2.49393,23.407,c3,9,1
2.49412,21.9797,c3,9,1
2.49432,20.7523,c3,9,1
2.49452,19.8492,c3,9,1
2.49472,19.2799,c3,9,1
2.49492,19.0349,c3,9,1
2.49511,19.0968,c3,9,1
2.49531,19.4831,c3,9,1
2.49551,20.2371,c3,9,1
2.49571,21.4082,c3,9,1
2.49591,22.9962,c3,9,1
2.49611,25.0013,c3,9,1
2.4963,27.296,c3,9,1
2.4965,29.7297,c3,9,1
2.4967,32.2691,c3,9,1
2.4969,34.8085,c3,9,1
2.4971,37.3349,c3,9,1
2.4973,39.7918,c3,9,1
2.49749,42.0387,c3,9,1
2.49769,43.8686,c3,9,1
2.49789,45.1035,c3,9,1
2.49809,45.6433,c3,9,1
2.49829,45.4534,c3,9,1
2.49848,44.6612,c3,9,1
2.49868,43.3593,c3,9,1
2.49888,41.733,c3,9,1
2.49908,39.7984,c3,9,1
2.49928,37.6321,c3,9,1
2.49948,35.2955,c3,9,1
2.49967,32.8894,c3,9,1
2.49987,30.6064,c3,9,1
2.50007,28.5551,c3,9,1
2.50027,26.8671,c3,9,1
2.50047,25.5036,c3,9,1
2.50067,24.4817,c3,9,1
