shift,A,cluster,peaks,Hs,config
3.65655,26.4548,c7,11,5,all
3.65671,28.644,c7,11,5,all
3.65688,30.455,c7,11,5,all
3.65705,31.7871,c7,11,5,all
3.65722,32.5749,c7,11,5,all
3.65738,32.8161,c7,11,5,all
3.65755,32.5499,c7,11,5,all
3.65772,31.8813,c7,11,5,all
3.65789,30.9453,c7,11,5,all
3.65806,29.8823,c7,11,5,all
3.65822,28.7548,c7,11,5,all
3.65839,27.6334,c7,11,5,all
3.65856,26.5765,c7,11,5,all
3.65873,25.628,c7,11,5,all
3.65889,24.8548,c7,11,5,all
3.65906,24.3052,c7,11,5,all
3.65923,24.0232,c7,11,5,all
3.6594,24.0364,c7,11,5,all
3.65957,24.3356,c7,11,5,all
3.65973,24.8857,c7,11,5,all
3.6599,25.6664,c7,11,5,all
3.66007,26.6357,c7,11,5,all
3.66024,27.7433,c7,11,5,all
3.6604,28.9218,c7,11,5,all
3.66057,30.1004,c7,11,5,all
3.66074,31.2069,c7,11,5,all
3.66091,32.1381,c7,11,5,all
3.66108,32.7989,c7,11,5,all
3.66124,33.0999,c7,11,5,all
3.66141,33.002,c7,11,5,all
3.66158,32.4889,c7,11,5,all
3.66175,31.5954,c7,11,5,all
3.66191,30.3605,c7,11,5,all
3.66208,28.8546,c7,11,5,all
3.66225,27.155,c7,11,5,all
3.66242,25.3578,c7,11,5,all
3.66259,23.5329,c7,11,5,all
3.66275,21.7564,c7,11,5,all
3.66292,20.063,c7,11,5,all
3.66309,18.4721,c7,11,5,all
3.66326,17.0197,c7,11,5,all
3.66342,15.7194,c7,11,5,all
3.66359,14.576,c7,11,5,all
3.66376,13.5825,c7,11,5,all
3.66393,12.7273,c7,11,5,all
3.6641,12.0106,c7,11,5,all
3.66426,11.4137,c7,11,5,all
3.66443,10.9252,c7,11,5,all
3.6646,10.5382,c7,11,5,all
3.66477,10.2342,c7,11,5,all
3.66493,10.0133,c7,11,5,all
3.6651,9.85325,c7,11,5,all
3.66527,9.75778,c7,11,5,all
3.66544,9.73495,c7,11,5,all
3.66561,9.7767,c7,11,5,all
3.66577,9.86341,c7,11,5,all
3.66594,9.9778,c7,11,5,all
3.66611,10.136,c7,11,5,all
3.66628,10.3403,c7,11,5,all
3.66644,10.5545,c7,11,5,all
3.66661,10.7409,c7,11,5,all
3.66678,10.8686,c7,11,5,all
3.66695,10.9501,c7,11,5,all
3.66712,11.0063,c7,11,5,all
3.66728,11.0348,c7,11,5,all
3.66745,10.9998,c7,11,5,all
3.66762,10.8819,c7,11,5,all
3.66779,10.6907,c7,11,5,all
3.66795,10.4534,c7,11,5,all
3.66812,10.1936,c7,11,5,all
3.66829,9.9338,c7,11,5,all
3.66846,9.70457,c7,11,5,all
3.66862,9.52147,c7,11,5,all
3.66879,9.40351,c7,11,5,all
3.66896,9.35012,c7,11,5,all
3.66913,9.37486,c7,11,5,all
3.6693,9.51952,c7,11,5,all
3.66946,9.82561,c7,11,5,all
3.66963,10.2885,c7,11,5,all
3.6698,10.9129,c7,11,5,all
3.66997,11.6756,c7,11,5,all
3.67013,12.5813,c7,11,5,all
3.6703,13.6254,c7,11,5,all
3.67047,14.7819,c7,11,5,all
